字體編號,楷書字體編號,楷書字型
27.E0E8,1.F32F,㗱
27.568C,0.568C,嚌
27.F0E2,0.F0E2,噍
27.56BC,0.56BC,嚼
27.542E,0.542E,吮
27.E0E9,1.F2F5,𠻜
27.56B5,0.56B5,嚵
27.566C,0.566C,噬
27.5557,0.5557,啗
27.5630,0.5630,嘰
27.E0EA,1.F276,㗘
27.542B,0.542B,含
27.54FA,0.54FA,哺
27.5473,0.5473,味
27.E0EB,1.F3EB,嚛
27.E0EC,1.F396,𠿡
27.566B,0.566B,噫
27.563D,0.563D,嘽
27.553E,0.553E,唾
28.E0ED,3.E0B9,涶
27.54A6,0.54A6,咦
27.546C,0.546C,呬
27.5598,0.5598,喘
27.547C,0.547C,呼
27.5438,0.5438,吸
27.5653,0.5653,噓
27.5439,0.5439,吹
27.559F,0.559F,喟
27.5633,0.5633,嘳
27.554D,0.554D,啍
27.568F,0.568F,嚏
27.E0EE,1.F3EC,𡂒
27.E0EF,1.F1D3,唫
27.5664,0.5664,噤
27.540D,0.540D,名
27.543E,0.543E,吾
27.54F2,0.54F2,哲
28.608A,0.608A,悊
27.E0F0,1.F3D1,嚞
27.541B,0.541B,君
27.E0F1,0.541B,君
27.547D,0.547D,命
27.54A8,0.54A8,咨
27.53EC,0.53EC,召
27.554F,0.554F,問
27.552F,0.552F,唯
27.5531,0.5531,唱
27.548C,0.548C,和
27.54A5,0.54A5,咥
27.555E,0.555E,啞
27.5671,0.5671,噱
27.550F,0.550F,唏
27.542C,0.542C,听
27.E0F2,1.F09E,呭
27.5604,0.5604,嘄
27.5484,0.5484,咄
27.5509,0.5509,唉
27.54C9,0.54C9,哉
27.5642,0.5642,噂
