小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
263,['46020'],27.E052,,b'\xee\x81\x92',,
264,['46412'],27.E053,,b'\xee\x81\x93',,丰艸金
265,['4624'],27.8587,薇,b'\xe8\x96\x87',卜人又彳屮屮『,一儿山彳艸
265,['4624'],27.E054,,b'\xee\x81\x94',,人囗川金
266,['10160'],27.84F6,蓶,b'\xe8\x93\xb6',口屮屮隹,口艸隹
267,['45825'],27.E055,,b'\xee\x81\x95',,
268,['46839'],27.E056,,b'\xee\x81\x96',一入土樂≠,木白金
269,['2357'],27.83A7,莧,b'\xe8\x8e\xa7',儿屮屮目,艸見
270,['692'],27.828B,芋,b'\xe8\x8a\x8b',一屮屮,于艸
271,['2348'],27.8392,莒,b'\xe8\x8e\x92',屮屮呂,一口口艸
272,['12460'],27.8627,蘧,b'\xe8\x98\xa7',彳屮屮止虍豕,虍艸豕
273,['2798'],27.83CA,菊,b'\xe8\x8f\x8a',屮屮米,米艸
274,['3210'],27.8477,葷,b'\xe8\x91\xb7',屮屮包車,艸車
275,['12453'],27.8618,蘘,b'\xe8\x98\x98',工口口屮屮爻衣Σ,一人口口艸
276,['2787'],27.83C1,菁,b'\xe8\x8f\x81',土屮屮屮丹,艸青
277,['5097'],27.8606,蘆,b'\xe8\x98\x86',屮屮皿虍甾,田皿虍艸
278,['2804'],27.83D4,菔,b'\xe8\x8f\x94',又屮屮舟,又月艸
279,['6546'],27.82F9,苹,b'\xe8\x8b\xb9',一八屮屮,儿干艸
280,['7052'],27.831E,茞,b'\xe8\x8c\x9e',屮屮臣,臣艸
281,['46550'],27.E057,,b'\xee\x81\x97',,
282,['4810'],27.85CD,藍,b'\xe8\x97\x8d',一人人屮屮皿臣臼,一人皿臣艸
283,['46681'],27.E058,,b'\xee\x81\x98',一入土心虍囟≠,心田虍金
283,['46459'],27.E059,,b'\xee\x81\x99', = 一人入土火Ξ≠,火金鹿
283,['3212'],27.8431,萱,b'\xe8\x90\xb1',一一屮屮,二日艸
284,['46114'],27.E05A,,b'\xee\x81\x9a',,儿日水金
284,['5776'],27.828E,芎,b'\xe8\x8a\x8e',屮屮弓,弓艸
285,['11941'],27.85ED,藭,b'\xe8\x97\xad',人八屮屮呂』,弓穴艸身
286,['5172'],27.862D,蘭,b'\xe8\x98\xad',八囗屮屮屮戶戶｛,儿艸束門
287,['8967'],27.844C,葌,b'\xe8\x91\x8c',屮屮女女女,女女女艸
288,['8964'],27.8470,葰,b'\xe8\x91\xb0',儿人屮屮巳,人儿艸
289,['5781'],27.8284,芄,b'\xe8\x8a\x84',厂人屮屮,丸艸
290,['12945'],27.8648,虈,b'\xe8\x99\x88',一儿口口口口屮屮自,口口口口艸頁
